"nom_sci","xcoord","ycoord","annee","code_spe","groupe"
"Meles meles","221837.035299","6760924.32268","2014","7","3"
"Capreolus capreolus","294053.693464","6761978.33517","2014","9","4"
"Capreolus capreolus","293317.34","6773703.31","2014","9","4"
"Meles meles","283521.86201","6775444.55149","2014","7","3"
"Capreolus capreolus","307369.388593","6772985.1627","2014","9","4"
"Capreolus capreolus","300979.01","6771459.984","2014","9","4"
"Capreolus capreolus","256181.381757","6746398.58701","2014","9","4"
"Capreolus capreolus","282956.838808","6735794.50497","2014","9","4"
"Meles meles","285555.277139","6733349.15267","2014","7","3"
"Meles meles","256106.307677","6746464.60081","2014","7","3"
"Capreolus capreolus","274897.79712","6741427.22161","2014","9","4"
"Capreolus capreolus","262969.101373","6745122.88816","2014","9","4"
"Capreolus capreolus","250150.484268","6745691.06006","2014","9","4"
"Capreolus capreolus","269640.679","6745532.143","2014","9","4"
"Capreolus capreolus","259046.012821","6745546.49812","2014","9","4"
"Capreolus capreolus","251398.228","6745731.162","2014","9","4"
"Capreolus capreolus","276944.061415","6747068.06305","2014","9","4"
"Capreolus capreolus","278499.950723","6748126.77203","2014","9","4"
"Capreolus capreolus","239620.462286","6766423.57383","2014","9","4"
"Cervus elaphus","258918.429","6771543.972","2014","8","4"
"Capreolus capreolus","246925.190769","6769509.85067","2014","9","4"
"Meles meles","246750.65823","6769411.31682","2014","7","3"
"Capreolus capreolus","265784.287615","6771501.34422","2014","9","4"
"Capreolus capreolus","273376.337551","6742188.31761","2014","9","4"
"Capreolus capreolus","290285.660143","6730671.82303","2014","9","4"
"Capreolus capreolus","275609.066","6741068.087","2014","9","4"
"Capreolus capreolus","278575.723","6738498.941","2014","9","4"
"Capreolus capreolus","281113.651882","6736780.24582","2014","9","4"
"Meles meles","248845.870392","6748146.47114","2014","7","3"
"Capreolus capreolus","301822.047391","6727993.70292","2014","9","4"
"Capreolus capreolus","258949.819954","6745573.15321","2014","9","4"
"Meles meles","296057.566733","6729080.99729","2014","7","3"
"Capreolus capreolus","278544.014816","6748149.92033","2014","9","4"
"Meles meles","273612.771816","6745583.59516","2014","7","3"
"Capreolus capreolus","268843.805076","6771902.79385","2014","9","4"
"Capreolus capreolus","262355.865313","6771056.93981","2014","9","4"
"Capreolus capreolus","254372.41676","6771640.94127","2014","9","4"
"Capreolus capreolus","272281.487067","6773026.42335","2014","9","4"
"Meles meles","261082.887098","6770854.51661","2014","7","3"
"Meles meles","273306.317034","6773220.38309","2014","7","3"
"Capreolus capreolus","233113.908799","6761489.96009","2014","9","4"
"Capreolus capreolus","215964.83635","6767368.69922","2014","9","4"
"Capreolus capreolus","219809.306476","6761569.20992","2014","9","4"
"Capreolus capreolus","219809.306476","6761569.20992","2014","9","4"
"Capreolus capreolus","220995.008005","6761419.40945","2014","9","4"
"Capreolus capreolus","232627.883953","6761601.09862","2014","9","4"
"Capreolus capreolus","245232.750402","6753232.0115","2014","9","4"
"Meles meles","246730.061663","6751632.68567","2014","7","3"
"Capreolus capreolus","237947.052677","6766199.88882","2014","9","4"
"Meles meles","237275.726112","6766050.91604","2014","7","3"
"Capreolus capreolus","234729.43177","6764332.00706","2014","9","4"
"Capreolus capreolus","300387.721945","6771364.38178","2014","9","4"
"Capreolus capreolus","280216.517229","6774379.09822","2014","9","4"
"Capreolus capreolus","295672.108084","6772903.56625","2014","9","4"
"Sus scrofa","294275.628","6773429.055","2014","10","3"
"Capreolus capreolus","293684.594716","6760750.09546","2014","9","4"
"Meles meles","264989.513588","6771452.63313","2014","7","3"
"Meles meles","283772.15849","6775601.23939","2014","7","3"
"Capreolus capreolus","252097.875","6771768.758","2014","9","4"
"Capreolus capreolus","269734.448289","6772022.32653","2014","9","4"
"Capreolus capreolus","219360.604475","6761931.01635","2014","9","4"
"Capreolus capreolus","243258.485894","6755792.45502","2014","9","4"
"Capreolus capreolus","247747.006109","6749810.34483","2014","9","4"
"Capreolus capreolus","247556.256108","6750321.4964","2014","9","4"
"Meles meles","302696.204323","6727300.1146","2014","7","3"
"Meles meles","280687.653323","6737036.56373","2014","7","3"
"Capreolus capreolus","274825.831997","6745844.62712","2014","9","4"
"Meles meles","293932.668724","6761712.48651","2014","7","3"
"Capreolus capreolus","295312.753723","6766703.64288","2014","9","4"
"Capreolus capreolus","219206.700262","6762126.54056","2014","9","4"
"Capreolus capreolus","218029.326","6763100.523","2014","9","4"
"Meles meles","295565.039057","6767774.24873","2014","7","3"
"Meles meles","295565.039057","6767774.24873","2014","7","3"
"Meles meles","295079.939349","6764246.99193","2014","7","3"
"Capreolus capreolus","301921.096905","6727986.53568","2014","9","4"
"Capreolus capreolus","255460.07674","6746909.17569","2014","9","4"
"Meles meles","303133.419138","6725973.61551","2014","7","3"
"Meles meles","277566.193545","6739599.32539","2014","7","3"
"Capreolus capreolus","278586.460939","6748175.87892","2014","9","4"
"Meles meles","282955.201966","6753143.29178","2014","7","3"
"Meles meles","312444.094777","6771507.43471","2014","7","3"
"Meles meles","250380.174456","6771916.53998","2014","7","3"
"Meles meles","256799.841512","6746114.25195","2014","7","3"
"Sus scrofa","257203.502767","6746057.40057","2014","10","3"
