"nom_vern","nom_sci","id_obs","date","annee","xcoord","ycoord","source"
"Blaireau européen","Meles meles","8def6b459fd1ee11cf8694b5550e28c6bd6f7d73","2015/10/19 00:00:00.000",2015,396583.086007191,6744732.28028322,"LPO anjoux"
"Sanglier","Sus scrofa","02686370149d882efc6054344ab5396441f6288e","2016/04/28 00:00:00.000",2016,481171.101516891,6698493.39258221,"LPO anjoux"
"Sanglier","Sus scrofa","7c6cf86e10d50f4a9a4ec1e8d1652d7ead8772b1","2015/02/17 00:00:00.000",2015,419322.399488469,6696180.12678527,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/06/29 00:00:00.000",2015,490686.938188999,6724098.20055945,"LPO anjoux"
"Blaireau européen","Meles meles","560ef892ee9e2835955223b721b29b7fbf14884b","2016/02/27 00:00:00.000",2016,465026.240868479,6682477.76126381,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2016/07/01 00:00:00.000",2016,392083.706968227,6746342.52749368,"LPO anjoux"
"Sanglier","Sus scrofa","bd9f456be51a5a38539bf63c400841ab936a7e74","2020/01/11 00:00:00.000",2020,465888.268472238,6696476.84863054,"LPO anjoux"
"Blaireau européen","Meles meles","de96cf32de95d20ad2ea474f2a94a5043571ce06","2014/01/26 00:00:00.000",2014,468335.224051549,6713884.82261911,"LPO anjoux"
"Sanglier","Sus scrofa","e79dd5402c1ffde0be91f164f06a9a2a53012493","2017/01/05 00:00:00.000",2017,451402.607586574,6739511.42945187,"LPO anjoux"
"Blaireau européen","Meles meles","446691511272946faa2ce0830847e1e70e86c3e0","2016/03/25 00:00:00.000",2016,405820.017408249,6741631.35412389,"LPO anjoux"
"Blaireau européen","Meles meles","9a5e2bd6eaa70294f979c3d52691c031b04920cf","2016/03/25 00:00:00.000",2016,405814.759492309,6741636.89696599,"LPO anjoux"
"Sanglier","Sus scrofa","830ea3f4c310909c26c1c225a10c9a4d95f62b11","2019/10/31 00:00:00.000",2019,420592.030276418,6699414.22502298,"LPO anjoux"
"Blaireau européen","Meles meles","02686370149d882efc6054344ab5396441f6288e","2014/01/26 00:00:00.000",2014,482018.123927759,6702257.76308032,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/07/12 00:00:00.000",2015,472036.855826658,6703452.41662012,"LPO anjoux"
"Blaireau européen","Meles meles","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/07/12 00:00:00.000",2015,472036.855826658,6703452.41662012,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2015/02/20 00:00:00.000",2015,434352.92208843,6679942.03725987,"LPO anjoux"
"Sanglier","Sus scrofa","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2015/02/20 00:00:00.000",2015,434111.150528777,6680655.43572095,"LPO anjoux"
"Sanglier","Sus scrofa","98d11dbd2f7757aa72cd444806ea419a0a060e14","2014/04/12 00:00:00.000",2014,453599.284665605,6722125.57696898,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","cde09c9e104b485524561844ecf8deb2d7a2ba91","2014/04/08 00:00:00.000",2014,387174.09851407,6737334.22801387,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/06/29 00:00:00.000",2015,490439.337646425,6726079.36337108,"LPO anjoux"
"Blaireau européen","Meles meles","02686370149d882efc6054344ab5396441f6288e","2020/02/02 00:00:00.000",2020,482056.958371564,6702208.64517787,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2020/10/06 00:00:00.000",2020,415512.134099408,6673194.04275156,"LPO anjoux"
"Blaireau européen","Meles meles","98d11dbd2f7757aa72cd444806ea419a0a060e14","2016/02/27 00:00:00.000",2016,426266.483957473,6701274.07843684,"LPO anjoux"
"Blaireau européen","Meles meles","a036f890eb09796b0ae209fef23fb7e30043c680","2019/01/12 00:00:00.000",2019,294373.135569284,6715060.15146582,"LPO anjoux"
"Cerf élaphe","Cervus elaphus","8def6b459fd1ee11cf8694b5550e28c6bd6f7d73","2019/09/14 00:00:00.000",2019,473312.516311132,6707841.54145048,"LPO anjoux"
"Cerf élaphe","Cervus elaphus","6be7bff12414ad918b95409b970f2b883db2cc44","2020/07/08 00:00:00.000",2020,412096.320053075,6670237.60418085,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2020/07/08 00:00:00.000",2020,412096.320053075,6670237.60418085,"LPO anjoux"
"Blaireau européen","Meles meles","e1d50c48e55fab73cd4468e23d4a46a6770c4f18","2016/02/17 00:00:00.000",2016,447781.420254786,6704100.09937144,"LPO anjoux"
"Sanglier","Sus scrofa","8def6b459fd1ee11cf8694b5550e28c6bd6f7d73","2014/10/21 00:00:00.000",2014,398124.390983534,6748656.8230163,"LPO anjoux"
"Blaireau européen","Meles meles","b096f9bd0c0e167c248402ca6502c3cb56dd2a82","2019/09/05 00:00:00.000",2019,429596.812981963,6679771.78728165,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2020/07/08 00:00:00.000",2020,412309.628654691,6670402.93255699,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/02/18 00:00:00.000",2015,469834.119030021,6718236.51020599,"LPO anjoux"
"Sanglier","Sus scrofa","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2021/03/08 00:00:00.000",2021,469682.529105783,6673296.15086357,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b6ecbae14395b04e57358a2a7047050ebbd5a156","2017/03/25 00:00:00.000",2017,452790.861523159,6690451.9359237,"LPO anjoux"
"Sanglier","Sus scrofa","02686370149d882efc6054344ab5396441f6288e","2019/09/25 00:00:00.000",2019,480713.792749741,6694578.20871829,"LPO anjoux"
"Sanglier","Sus scrofa","7c6cf86e10d50f4a9a4ec1e8d1652d7ead8772b1","2019/07/02 00:00:00.000",2019,326938.096998758,6737978.73270989,"LPO anjoux"
"Sanglier","Sus scrofa","6be7bff12414ad918b95409b970f2b883db2cc44","2015/10/13 00:00:00.000",2015,423706.917475438,6683483.20969368,"LPO anjoux"
"Blaireau européen","Meles meles","d77256eaec9259f56ee479a877b4a1847504eac2","2020/06/10 00:00:00.000",2020,446803.661587094,6683727.83451825,"LPO anjoux"
"Blaireau européen","Meles meles","406b6da2b17efa66de20fcea931083bb8ede794f","2021/04/17 00:00:00.000",2021,473331.386410334,6686921.92791874,"LPO anjoux"
"Sanglier","Sus scrofa","b6ecbae14395b04e57358a2a7047050ebbd5a156","2018/03/10 00:00:00.000",2018,461627.73017814,6688814.72563468,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b6ecbae14395b04e57358a2a7047050ebbd5a156","2018/03/10 00:00:00.000",2018,452016.485434599,6701988.72743862,"LPO anjoux"
"Blaireau européen","Meles meles","8534d19d67d629d14275beafa3418a5bcfc0496c","2015/04/15 00:00:00.000",2015,429164.014201632,6694560.43417388,"LPO anjoux"
"Sanglier","Sus scrofa","02686370149d882efc6054344ab5396441f6288e","2019/01/12 00:00:00.000",2019,477917.37027073,6698658.15826443,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/07/02 00:00:00.000",2015,452785.383507934,6721841.695181,"LPO anjoux"
"Sanglier","Sus scrofa","39f5a14b14544d4b438f5022487efe7cfdc31309","2015/07/02 00:00:00.000",2015,452785.383507934,6721841.695181,"LPO anjoux"
